series,subplot,scale,Disturbance.Frequency,Disturbance.Severity
NFD21_11,NE,0.001,0.9464783333333333,0.3760483333333333
NFD21_11,NE,0.01,1.087138,0.40595899999999996
NFD21_11,NE,0.1,1.0619566666666667,0.43471666666666664
NFD21_11,NE,1,1.021665,0.4435872727272727
NFD21_11,NE,10,0.8364690322580645,0.4772425806451613
NFD21_11,SW,1e-4,0.8636699999999999,0.33464
NFD21_11,SW,0.001,0.7891657142857142,0.4014357142857143
NFD21_11,SW,0.01,0.856555,0.41254625
NFD21_11,SW,0.1,0.7562635714285714,0.45089785714285713
NFD21_11,SW,1,0.7334961904761904,0.4528847619047619
NFD21_11,SW,10,0.7414521212121212,0.48158939393939393
NFD21_11,x,100,0.7417946,0.4960768
NFD21_12,NW,1e-4,0.78611,0.43189666666666665
NFD21_12,NW,0.001,0.5978899999999999,0.4916216666666667
NFD21_12,NW,0.01,0.7119754545454545,0.5141209090909091
NFD21_12,NW,0.1,0.7108135714285714,0.5192192857142857
NFD21_12,NW,1,0.7882264999999999,0.5199805
NFD21_12,NW,10,0.7909347999999999,0.5080416
NFD21_12,SE,1e-4,0.7369924999999999,0.485115
NFD21_12,SE,0.001,0.68245,0.49040666666666666
NFD21_12,SE,0.01,0.6788375,0.48344625
NFD21_12,SE,0.1,0.6788375,0.48344625
NFD21_12,SE,1,0.7053138888888889,0.48496333333333336
NFD21_12,SE,10,0.6967859090909091,0.4802322727272727
NFD21_12,x,100,0.8089113157894736,0.49954184210526315
NFD21_13,NW,1e-4,0.551484,0.56366
NFD21_13,NW,0.001,0.66012,0.5573
NFD21_13,NW,0.01,0.814181,0.511667
NFD21_13,NW,0.1,0.6857646666666667,0.5417959999999999
NFD21_13,NW,1,0.637559,0.53114
NFD21_13,NW,10,0.6442335483870968,0.5279267741935484
NFD21_13,SE,1e-4,0.6519033333333333,0.59492
NFD21_13,SE,0.001,0.706152,0.568978
NFD21_13,SE,0.01,0.7625354545454546,0.5003345454545455
NFD21_13,SE,0.1,0.7625354545454546,0.5003345454545455
NFD21_13,SE,1,0.685919375,0.51367375
NFD21_13,SE,10,0.676005,0.5094263636363636
NFD21_13,x,100,0.6631016666666667,0.5237627777777778
NFD21_14,NW,1e-4,0.8344075,0.48350499999999996
NFD21_14,NW,0.001,0.8338519999999999,0.489616
NFD21_14,NW,0.01,0.923422,0.482692
NFD21_14,NW,0.1,0.796215,0.49769375
NFD21_14,NW,1,0.7307457142857142,0.50587
NFD21_14,NW,10,0.6423466666666666,0.5228487878787879
NFD21_14,SE,1e-4,0.7662066666666666,0.50436
NFD21_14,SE,0.001,0.5529419999999999,0.554188
NFD21_14,SE,0.01,0.6819622222222222,0.50315
NFD21_14,SE,0.1,0.6709058333333333,0.5035441666666667
NFD21_14,SE,1,0.626423125,0.510648125
NFD21_14,SE,10,0.6291086666666666,0.5256149999999999
NFD21_14,x,100,0.6800668888888889,0.5192955555555555
NFD21_15,NW,1e-4,0.29115,0.5966750000000001
NFD21_15,NW,0.001,0.8068025,0.5499325
NFD21_15,NW,0.01,0.82972125,0.53616375
NFD21_15,NW,0.1,0.8182746153846154,0.5414192307692308
NFD21_15,NW,1,0.991418,0.5212824
NFD21_15,NW,10,0.9378543902439024,0.5249517073170732
NFD21_15,SE,1e-4,0.7418566666666666,0.5393166666666667
NFD21_15,SE,0.001,0.9678916666666667,0.5167866666666666
NFD21_15,SE,0.01,1.014713,0.521724
NFD21_15,SE,0.1,0.9634347368421052,0.5209215789473685
NFD21_15,SE,1,0.919635,0.5184471875
NFD21_15,SE,10,0.9071417391304347,0.5216804347826087
NFD21_15,x,100,0.9284984905660377,0.5231241509433963
NFD21_16,NW,1e-4,0.86896,0.4825466666666667
NFD21_16,NW,0.001,1.17792875,0.49207375
NFD21_16,NW,0.01,0.9676374999999999,0.5190766666666666
NFD21_16,NW,0.1,0.9297244444444445,0.5194683333333333
NFD21_16,NW,1,0.9195046666666666,0.5196353333333333
NFD21_16,NW,10,0.8605565957446808,0.5247736170212766
NFD21_16,SE,1e-4,0.96151,0.5059833333333333
NFD21_16,SE,0.001,0.7195975,0.5313012500000001
NFD21_16,SE,0.01,0.8660693333333334,0.526628
NFD21_16,SE,0.1,0.814319,0.534546
NFD21_16,SE,1,0.853548947368421,0.5163626315789474
