type,series,richness_type,c,z,p_value_slope,r_squared
p_a,UAS42,non_native,NA,NA,NA,NA
p_a,UAS42,invasive,NA,NA,NA,NA
p_a,UAS43,total_species,13.048718858336937,0.22861169481787413,7.666632571007153e-7,0.9650963102732659
p_a,UAS43,native,12.633695049537595,0.230066141795788,2.266266389062751e-6,0.9554373977381775
p_a,UAS43,non_native,0.4120872403755547,0.18194247261110047,0.14667603068413668,0.3172813881751553
p_a,UAS43,invasive,NA,NA,NA,NA
p_a,UAS44,total_species,18.6781104794514,0.23553479950721126,9.991991855253339e-11,0.9888407023187744
p_a,UAS44,native,17.154914201013185,0.2328637711875792,5.308796231061119e-10,0.9847333364006371
p_a,UAS44,non_native,1.520045078373433,0.26428573280748424,8.639795740668341e-6,0.9134957643719185
p_a,UAS44,invasive,NA,NA,NA,NA
p_a,UAS45,total_species,20.550677780146515,0.20739814974365828,7.84677385316903e-7,0.9434151477018559
p_a,UAS45,native,20.03596738279437,0.20787121089577812,7.371665285337907e-7,0.9440442243990321
p_a,UAS45,non_native,0.511392575427625,0.19084151669512364,0.019536117677121767,0.5643777614084684
p_a,UAS45,invasive,0.511392575427625,0.19084151669512364,0.019536117677121767,0.5643777614084684
p_a,UAS46,total_species,12.316798188877852,0.21848590415205985,3.468501151009155e-8,0.9741568306044186
p_a,UAS46,native,12.175825431110509,0.21441849306588728,5.058729125233162e-8,0.9718645566520421
p_a,UAS46,non_native,0.13655355460554042,0.442336492511167,0.02404624119979365,0.6551195513536663
p_a,UAS46,invasive,0.13655355460554042,0.442336492511167,0.02404624119979365,0.6551195513536663
p_a,UAS47,total_species,11.579989189525405,0.2824361206113624,1.0402705149311829e-7,0.9642937023685507
p_a,UAS47,native,10.510903701673291,0.29309399419859283,2.115537222924353e-7,0.9599012712961028
p_a,UAS47,non_native,0.9966463878373073,0.16581094248791592,8.692181416461009e-4,0.7583800280700513
p_a,UAS47,invasive,0.7821625293339569,0.11250822610095351,0.016876208365257737,0.537714430664088
p_a,UAS48,total_species,17.73617130971263,0.23864118253418237,1.330508853005906e-8,0.9734185947715107
p_a,UAS48,native,16.122408117519242,0.2322938211974199,2.6021378217228008e-8,0.9692944621292545
p_a,UAS48,non_native,1.6253626970747106,0.2917076072161945,3.7222911618401877e-7,0.9577036416446417
p_a,UAS48,invasive,0.7095510465475314,0.13729777733002133,0.009970572774479382,0.6086454778733239
p_a,UAS49,total_species,8.23162789324579,0.14351029486594843,5.620067536235582e-7,0.9331625843901106
p_a,UAS49,native,8.23162789324579,0.14351029486594843,5.620067536235582e-7,0.9331625843901106
p_a,UAS49,non_native,NA,NA,NA,NA
p_a,UAS49,invasive,NA,NA,NA,NA
p_a,UAS50,total_species,15.100226783842723,0.16199941819219166,6.725250286703999e-7,0.9362007557449536
p_a,UAS50,native,14.716529811593398,0.15500877548211867,1.743049068996317e-6,0.922876532167293
p_a,UAS50,non_native,0.2730807229354743,0.4423597352739895,9.0992035975363e-6,0.9372593661322912
p_a,UAS50,invasive,NA,NA,NA,NA
p_a,UAS51,total_species,16.172908228114732,0.30061064531836224,5.124941936593111e-6,0.925369986460213
p_a,UAS51,native,15.881161934278436,0.2904230745713499,3.472902965090758e-6,0.9296297482797393
p_a,UAS51,non_native,0.3748687197872743,0.5185737111211082,0.005364102477535816,0.7666353009966929
p_a,UAS51,invasive,0.13653989417256604,0.4423605921989992,0.017691411153930754,0.6603418261361216
p_a,UAS55,total_species,18.253265655587434,0.19829305055840604,1.5512381681615555e-8,0.9704328799786379
p_a,UAS55,native,16.3463349069818,0.17530561156697505,9.352537449366244e-8,0.95705732624447315
p_a,UAS55,non_native,1.401009779666092,0.4246054053862791,7.003175714062362e-9,0.9823901831674242
p_a,UAS55,invasive,NA,NA,NA,NA
p_a,UA_Cr_01,total_species,6.358922646090848,0.25805507248983234,5.334053367377961e-10,0.9930720375526714
p_a,UA_Cr_01,native,6.247875981493986,0.25058603385537653,2.0951181549680313e-10,0.9942876535491709
p_a,UA_Cr_01,non_native,0.13665049696953502,0.44216609629293147,0.032909195613166194,0.6487582018510493
p_a,UA_Cr_01,invasive,0.13665049696953502,0.44216609629293147,0.032909195613166194,0.6487582018510493
p_a,UA_Cr_02,total_species,8.828319481641685,0.28719339132474836,4.767819945168631e-5,0.8934851953199063
p_a,UA_Cr_02,native,8.89491905196296,0.27950997560985136,4.960970779131094e-5,0.8917092192630329
p_a,UA_Cr_02,non_native,NA,NA,NA,NA
p_a,UA_Cr_02,invasive,NA,NA,NA,NA
p_a,UA_Cr_03,total_species,20.65354447026795,0.19528642447666214,4.1947998811192906e-7,0.9466250514792497
p_a,UA_Cr_03,native,20.65354447026795,0.19528642447666214,4.1947998811192906e-7,0.9466250514792497
p_a,UA_Cr_03,non_native,NA,NA,NA,NA
p_a,UA_Cr_03,invasive,NA,NA,NA,NA
p_a,UA_Cr_04,total_species,13.455005389359625,0.22079487134171513,7.422399779918789e-10,0.9830612028206619
p_a,UA_Cr_04,native,13.323347962004739,0.21687116344459523,5.42943351982858e-10,0.983867357919723
p_a,UA_Cr_04,non_native,0.13653989321948545,0.4423605939463915,0.01769141057338752,0.660341826136114
p_a,UA_Cr_04,invasive,NA,NA,NA,NA
p_a,UA_Cr_05,total_species,6.040933731576691,0.26324771622549825,1.6513612829230217e-8,0.9796786791114984
p_a,UA_Cr_05,native,5.796208502633822,0.24874289583309225,3.56269803472697e-8,0.9755320405669188
p_a,UA_Cr_05,non_native,0.27311075423009756,0.4423331515547348,2.4144666656619097e-5,0.9358850733964591
p_a,UA_Cr_05,invasive,0.28460752565594144,0.3166287445080853,0.0066793762098534305,0.7347914703324604
p_a,UA_Cr_06,total_species,10.308904943555362,0.1846105383333414,3.4031837680189463e-6,0.912047983107722
p_a,UA_Cr_06,native,9.752842756406917,0.17837860855762067,2.922881124158761e-6,0.912977419659817
p_a,UA_Cr_06,non_native,0.5337621887472738,0.2852806158118773,0.0012400923546206435,0.7784010302028337
p_a,UA_Cr_06,invasive,NA,NA,NA,NA
p_a,UA_Cr_07,total_species,19.60459428678869,0.21895778998873175,9.629389155971472e-8,0.9619451272232695
p_a,UA_Cr_07,native,19.319963787057254,0.21799110918396847,6.379985515153502e-8,0.9646607888481824
p_a,UA_Cr_07,non_native,0.2830397025235058,0.2785708530774326,0.04747518356879178,0.49798449183433513
p_a,UA_Cr_07,invasive,NA,NA,NA,NA
p_a,UA_Cr_08,total_species,19.762471509747392,0.1906084586447587,1.7139332004953165e-11,0.9909731203519262
p_a,UA_Cr_08,native,19.762471509747392,0.1906084586447587,1.7139332004953165e-11,0.9909731203519262
p_a,UA_Cr_08,non_native,NA,NA,NA,NA
p_a,UA_Cr_08,invasive,NA,NA,NA,NA
p_a,UA_MJ_01,total_species,31.35312561178671,0.19162946244028978,3.241221263044488e-8,0.9654479042394177
p_a,UA_MJ_01,native,31.35312561178671,0.19162946244028978,3.241221263044488e-8,0.9654479042394177
p_a,UA_MJ_01,non_native,NA,NA,NA,NA
p_a,UA_MJ_01,invasive,NA,NA,NA,NA
p_a,UA_MJ_02,total_species,26.515824155317322,0.15710872802777434,8.919088220800778e-8,0.9547925084088419
p_a,UA_MJ_02,native,26.515824155317322,0.15710872802777434,8.919088220800778e-8,0.9547925084088419
p_a,UA_MJ_02,non_native,NA,NA,NA,NA
p_a,UA_MJ_02,invasive,NA,NA,NA,NA
p_a,UA_MJ_03,total_species,38.601525657659245,0.16870932417724446,5.332211214890518e-7,0.9401909142855482
p_a,UA_MJ_03,native,38.20187012960887,0.1684534436318246,3.6947158464965073e-7,0.9440880912944606
p_a,UA_MJ_03,non_native,0.3992374411277483,0.19218497899483666,0.08791906669742143,0.36609354066545696
p_a,UA_MJ_03,invasive,NA,NA,NA,NA
p_a,UA_MJ_04,total_species,44.10771577055303,0.17480479522512396,1.1041038127320918e-7,0.9561319059215402
p_a,UA_MJ_04,native,43.589229045235,0.17440972710552533,1.1368344225762371e-7,0.9557612378823279
p_a,UA_MJ_04,non_native,0.5260713453163339,0.1994157489538485,0.005723593263808148,0.6864775434757385
p_a,UA_MJ_04,invasive,NA,NA,NA,NA
p_a,UA_MJ_05,total_species,42.35808614958656,0.17605824914186957,1.7115825246638967e-7,0.9526295843741498
p_a,UA_MJ_05,native,41.868482881419396,0.1765309101903395,2.6904097066544317e-7,0.9485345843354427
p_a,UA_MJ_05,non_native,0.48654971612651776,0.13362133330246442,0.15167907499233246,0.24252025020183288
p_a,UA_MJ_05,invasive,NA,NA,NA,NA
cover,BS19005,total_species,NA,NA,NA,NA
cover,BS19005,native,NA,NA,NA,NA
cover,BS19005,non_native,2.249995595727434,3.8771967418777843e-7,0.9999990214509134,-1.0335288180840507e-11
cover,BS19005,invasive,1.49999854161884,5.476958954641307e-7,0.9999993153811013,-2.8905766669140576e-12
cover,BS19013,total_species,NA,NA,NA,NA
cover,BS19013,native,NA,NA,NA,NA
cover,BS19013,non_native,NA,NA,NA,NA
cover,BS19013,invasive,NA,NA,NA,NA
cover,BS19023,total_species,73.5448166978314,0.003500511820351568,0.943956002901657,0.0077096544147409185
cover,BS19023,native,72.64339489406821,0.002958823830211073,0.9494226021371087,0.006284454521916283
cover,BS19023,non_native,0.9090895521394944,0.04139304164156403,0.8773626442021755,0.035714285709306015
cover,BS19023,invasive,0.22499787658604078,0.12494227433488868,0.8167730768024681,0.07692307683287469
cover,BS19031,total_species,NA,NA,NA,NA
cover,BS19031,native,NA,NA,NA,NA
cover,BS19031,non_native,NA,NA,NA,NA
cover,BS19031,invasive,NA,NA,NA,NA
cover,BS19032,total_species,69.40107306279666,0.0012461740704870208,0.994631644602699,7.103926348384082e-5
cover,BS19032,native,69.40107306279666,0.0012461740704870208,0.994631644602699,7.103926348384082e-5
cover,BS19032,non_native,NA,NA,NA,NA
cover,BS19032,invasive,NA,NA,NA,NA
cover,BS19048,total_species,NA,NA,NA,NA
cover,BS19048,native,NA,NA,NA,NA
cover,BS19048,non_native,0.24999964133054345,1.2250935709347353e-7,0.9999998959377898,-1.7073009672685657e-12
cover,BS19048,invasive,0.24999964133054345,1.2250935709347353e-7,0.9999998959377898,-1.7073009672685657e-12
cover,NFD21_01,total_species,NA,NA,NA,NA
cover,NFD21_01,native,NA,NA,NA,NA
cover,NFD21_01,non_native,NA,NA,NA,NA
cover,NFD21_01,invasive,NA,NA,NA,NA
cover,NFD21_02,total_species,NA,NA,NA,NA
cover,NFD21_02,native,NA,NA,NA,NA
cover,NFD21_02,non_native,5.451769906774691,0.007755464917583511,0.9932366324552364,1.1221140628947524e-4
cover,NFD21_02,invasive,NA,NA,NA,NA
cover,NFD21_03,total_species,69.46354811218681,0.003092838043341177,0.9656423385772519,0.002903010421807406
cover,NFD21_03,native,68.11361269445057,0.0031534981938830843,0.9591676950150626,0.004098360655475419
cover,NFD21_03,non_native,1.3499998690021289,6.712729457207067e-8,0.9999999097912565,-6.505906924303417e-14
cover,NFD21_03,invasive,0.04999973072829096,5.667816902839209e-7,0.9999995173436866,-2.0500712238913366e-11
cover,NFD21_04,total_species,71.50513958646548,6.063480678807033e-4,0.9985851354827489,4.932831191073461e-6
cover,NFD21_04,native,61.20016272369536,7.074544794817134e-4,0.9989736828416937,2.6008184187409356e-6
cover,NFD21_04,non_native,10.304986485555673,8.485868617188509e-7,0.9999992403215765,-4.179323553898939e-12
cover,NFD21_04,invasive,10.249984953678684,9.399588680850156e-7,0.9999991641339883,-5.058398144797138e-12
cover,NFD21_05,total_species,NA,NA,NA,NA
cover,NFD21_05,native,NA,NA,NA,NA
cover,NFD21_05,non_native,NA,NA,NA,NA
cover,NFD21_05,invasive,NA,NA,NA,NA
cover,NFD21_06,total_species,71.97851980546022,0.005911428983338945,0.9493348460602188,0.006293065116498964
cover,NFD21_06,native,70.57878074738137,0.006026523990369381,0.9403240748030199,0.008722040137520648
cover,NFD21_06,non_native,NA,NA,NA,NA
cover,NFD21_06,invasive,NA,NA,NA,NA
cover,NFD21_07,total_species,NA,NA,NA,NA
cover,NFD21_07,native,NA,NA,NA,NA
