series,dataset,subplot,habitat_group,economic_use,zonality,lon,lat,altitude,BIO1,BIO12,BIO7,BIO15,pH,depth_mean,cover_herbs,cover_herbs_sum,inclination,heat_index,cover_litter,grazing,grazing_intencity,mowing,burning,abandonment,build_up_5km,built_up_2km,deph_SD,microrelief,cover_stones,cover_gravel,cover_soil,cover_shrub_total,sand,silt,clay,conductivity,Corg,roads,footprint_values,cover_gravel_stones
BS19032,11,SE,sandy,0,0,30.621701,47.908626,79,97,487,325,30,6.9,NA,55,55.901,2,0.014758155,15,1,2,0,0,0,4.504444672,1.398076923,NA,5,0,0,100,0,NA,NA,NA,NA,NA,431,13,0
BS19048,11,NW,sandy,0,0,30.072378,48.120077,105,96,537,321,34,7.6,NA,35,42.7,0,0,65,0,0,0,0,1,8.732652018,27.08184143,NA,4,0,0,100,0,NA,NA,NA,NA,NA,658,17,0
BS19048,11,SE,sandy,0,0,30.07246,48.11999,105,96,537,321,34,5.7,NA,35,36.11,0,0,50,0,0,0,0,1,8.730765301,26.99295324,NA,6,0,0,100,0,NA,NA,NA,NA,NA,658,17,0
SB20152,11,NW,sandy,0,0,31.777899,47.270861,15,102,437,335,27,7.5,19.4,55,62.471,0,0,5,1,2,0,0,0,10.29131767,21.42610365,2.408318916,2,0,0,100,0,NA,NA,NA,NA,NA,596,17,0
SB20152,11,SE,sandy,0,0,31.77801,47.270771,15,102,437,335,27,8.5,25,60,67.633,0,0,10,1,2,0,0,0,10.28187027,21.34544296,3.535533906,3,0,0,100,0,NA,NA,NA,NA,NA,596,17,0
SB20178,11,NW,sandy,0,0,31.684017,47.315499,13,102,453,335,26,7.6,71.2,50,56.013,0,0,35,0,0,0,0,1,1.344922794,0.677316294,7.120393248,7,0,0,100,5,NA,NA,NA,NA,NA,662,12,0
SB20178,11,SE,sandy,0,0,31.68419,47.315459,13,102,453,335,26,7.6,65.8,45,46.67,0,0,20,0,0,0,0,1,1.35674071,0.687460216,9.230384607,5.5,0,0,100,0,NA,NA,NA,NA,NA,662,12,0
NFD21_03,7,NW,sandy,1,0,28.46883,49.35131,240,82,605,307,38,5.65,9.1,90,64.61,2,-0.017460385,5,0,0,0,0,1,7.839411584,6.857234315,0.52,5,0,0,100,0,73,22.5,4.5,146,1.584,234,15,0
NFD21_03,7,SE,sandy,1,0,28.468974,49.35121,236,82,605,307,38,5.47,16.8,70,75.31,0,0,5,0,0,0,0,1,7.874513818,6.822292994,3.44,5,0,0,100,0,60.5,35,4.5,155.4,0.66,234,15,0
NFD21_04,7,NW,sandy,1,0,28.408325,49.393771,236,82,610,306,38,5.41,24.6,65,97.6,8,0.080610911,40,0,0,0,0,1,1.379296236,2.62627551,2.48,5,0,0,100,0,76,19.9,4.1,113.8,0.444,320,6,0
NFD21_04,7,SE,sandy,1,0,28.40848,49.39356,236,82,610,306,38,5.29,13.12,90,45.61,3,0.022148485,5,0,0,0,0,1,1.380298997,2.600254615,4.152,5,0,0,100,0,75,19.6,5.4,129.2,0.5064,320,6,0
NFD21_40,8,NW,sandy,1,0,25.95326,51.224602,161.2,79,594,296,33,5.03,35.2,80,60.41,5,0.043744332,80,0,0,0,0,1,1.048349177,0.61341853,7.429670248,10,0,0,100,0,65.5,30,4.5,111.1,0.684,357,5,0
NFD21_40,8,SE,sandy,1,0,25.95333,51.224492,156.2,79,594,296,33,4.9,35.4,75,95.01,5,0.043744332,20,0,0,0,0,1,1.046986721,0.618589744,7.635443668,6,0,0,100,0,65,30.9,4.1,139.2,0.612,357,5,0
NFD21_38,8,NW,sandy,0,0,25.92901,51.0097,189.4,79,573,295,35,5.09,38.6,65,68,0,0,0,1,1,0,0,0,0.61202577,0,5.983310121,7,0,0,100,0,90.5,5.4,4.1,89.2,0.252,286,6,0
NFD21_38,8,SE,sandy,0,0,25.929163,51.009552,166,79,573,295,35,4.77,46.8,50,50.01,4,-0.049445723,0,1,1,0,0,0,0.603291424,0,11.882760620000001,3.5,0,0,100,0,91,5.4,3.6,119.2,0.444,286,6,0
NFD21_43,8,NW,sandy,0,0,27.183953,51.534868,157.1,77,653,303,35,5.16,45.6,25,25.5,2,-0.020029731,1,0,0,0,0,1,0.018726975,0,2.607680962,7,0,0,100,0,96.6,1.1,2.3,80.7,0.192,53,4,0
NFD21_43,8,SE,sandy,0,0,27.184071,51.534785,152.9,77,653,303,35,5.08,55.6,10,10.1,2,-0.024692713,0,0,0,0,0,1,0.018719313,0,8.203657721,16,0,0.1,99.9,0,95,3.65,1.35,172,0.3,53,4,0.1
NFD21_44,8,NW,sandy,0,0,27.1867,51.5318,131,76,659,303,35,5.22,41.6,35,34.1,3,0.052208352,3,1,1,0,0,0,0.018730809,0,1.949358869,8,0,0,100,0,95.5,1.3,3.2,78.3,0.288,53,4,0
NFD21_44,8,SE,sandy,1,0,27.186954,51.531809,140.4,76,659,303,35,5.32,60.8,10,10.2,3.5,0.059078554,0.5,1,1,0,0,0,0.018730809,0,19.58826179,12,0,0,100,0,98.5,0.6,0.9,178.7,0.216,53,4,0
NFD21_42,8,NW,wet,1,0,26.365657,51.277388,145.2,79,591,298,35,7.37,23.8,99,86.52,0,0,0,1,2,1,0,0,5.460257458,3.85659411,5.167204273,4,0,0,100,0,0.8,85.6,13.6,319,1.992,267,9,0
NFD21_36,8,NE,wet,1,0,24.989772,51.867202,134.7,78,583,293,32,5.83,88,95,100.12,0,0,30,1,1,0,0,0,0.577320643,3.263862333,1.414213562,6,0,0,100,0,2.5,87.1,10.4,656,6.912,197,15,0
NFD21_36,8,SW,wet,1,0,24.989609,51.867163,133.2,78,583,293,32,5.81,51.4,99,103.62,0,0,13,1,1,0,0,0,0.576671437,3.272204473,3.731621631,6,0,0,100,0.1,2,88.9,9.1,693,6.984,197,15,0
NFD21_42,8,SE,wet,1,0,26.365766,51.277272,148,79,591,298,35,4.32,29.7,100,105.2,0,0,20,1,2,1,0,0,5.461562084,3.839388145,10.63954886,4.5,0,0,100,0,0,100,0,433,7.596,267,9,0
UA05,1,NW,xeric,1,1,29.31665,48.24173,192,89,543,317,33,7.19,NA,85,117.9,25,0.459223397,10,0,0,0,0,1,6.462277653,0,NA,5,0,0,5,0,10,60,30,151,2.164594177,296,21,0
UA05,1,SE,xeric,1,1,29.31662,48.24164,197,89,543,317,33,7,NA,95,115.1,18,0.324919696,20,0,0,0,0,1,6.465541922,0,NA,3,0,0,2,0,5,90,5,69,2.378718397,296,21,0
UA07,1,NW,xeric,1,1,28.69904,48.13979,99,95,517,319,37,7.47,NA,70,84.69,19,0.059791863,12,1,2,0,0,0,1.474953997,0.00128041,NA,5,1,0,20,0.01,20,60,20,167,1.553261582,269,9,1
UA07,1,SE,xeric,1,1,28.69916,48.13969,97,95,517,319,37,7.29,NA,85,93.8,20,0.063202768,5,1,2,0,0,0,1.47138631,0.001284522,NA,2,1,0,4,0.1,75,10,15,205,3.067679043,269,9,1
UA08,1,NW,xeric,1,1,28.69715,48.14212,125,94,497,318,36,7.47,NA,55,90.8,22,-0.104569682,20,1,1,0,0,0,1.233554987,0,NA,15,18,6,8,20,20,60,20,167,1.553261582,269,16,24
UA08,1,SE,xeric,1,1,28.69723,48.14199,122,94,497,318,36,7.29,NA,70,125.4,22,-0.138185108,10,1,1,0,0,0,1.266319338,0,NA,5,10,2,10,3,75,10,15,205,3.067679043,269,16,12
UA09,1,NW,xeric,1,1,28.73527,48.15046,169,94,485,318,36,7.62,NA,52.5,93.4,26,-0.27975192,2,0,0,0,1,0,1.256156125,2.019230769,NA,20,13,12,25,1.4,50,30,20,187,3.0502071,269,14,25
UA09,1,SE,xeric,1,1,28.73525,48.15038,166,94,485,318,36,7.7,NA,60,108.43,35,-0.061027108,8,0,0,0,1,0,1.257487478,2.015355086,NA,45,15,5,12,1.1,60,20,20,188,2.894094358,269,14,20
UA10,1,NW,xeric,1,1,28.74464,48.15201,123,95,502,319,38,7.32,NA,97,144.2,27,0.21533476,30,1,2,0,0,0,1.287554965,2.044117647,NA,2,0,0,0,0,55,10,35,203,4.849804576,269,14,0
UA10,1,SE,xeric,1,1,28.74477,48.15192,129,95,502,319,38,7.42,NA,90,91.7,27,0.21533476,5,1,2,0,0,0,1.292092358,2.049358974,NA,3,0,0,3,0,30,35,35,173,2.856512726,269,14,0
UA11,1,NW,xeric,1,1,28.79681,48.20919,194,90,499,317,36,7.46,NA,90,105.8,14,0.143008667,30,0,0,0,0,1,1.492999489,1.593610224,NA,2,0,0,0,1,55,10,35,180,6.983273081,307,11,0
UA11,1,SE,xeric,1,1,28.79662,48.20907,194,90,499,317,36,7.5,NA,80,133.3,14,0.143008667,90,0,0,0,0,1,1.494277539,1.68797954,NA,2,0,0,1,1.7,20,60,20,210,6.339518588,307,11,0
UA12,1,NW,xeric,1,1,28.78557,48.20425,179,92,486,318,36,7.38,NA,95,184.92,17,0.264770537,15,1,3,0,0,0,1.539648477,4.371630295,NA,1,0,0,3,0,55,10,35,184,3.55510681,307,11,0
UA12,1,SE,xeric,1,1,28.78538,48.20413,177,92,486,318,36,7.74,NA,62,120,13,0.197892664,7,1,3,0,0,0,1.539648477,4.388853299,NA,2,0,0,30,0.1,20,25,55,150,2.388821378,307,11,0
UA13,1,NW,xeric,1,1,28.57165,48.33408,163,91,490,316,37,7.74,NA,75,115.67,20,0.362585218,10,1,3,0,0,0,0.830843226,0.885277247,NA,1,2,0.01,5,4,20,25,55,150,2.388821378,182,11,2.01
UA13,1,SE,xeric,1,1,28.57184,48.33408,163,91,490,316,37,7.52,NA,80,116,20,0.351568249,2,1,3,0,0,0,0.830028618,0.87971849,NA,3,4,2,0,0.1,30,35,35,183,3.737141278,182,11,6
UA14,1,NW,xeric,1,1,28.5661,48.3101,140,92,505,316,37,7.36,NA,70,141.7,16,-0.286570708,2,1,2,0,0,0,1.10525238,1.349044586,NA,5,0.2,0,25,0.3,55,10,35,187,3.5226097,246,11,0.2
UA14,1,SE,xeric,1,1,28.56632,48.31007,140,92,505,316,37,7.45,NA,82,150.12,20,-0.359489157,5,1,2,0,0,0,1.108497801,1.347603834,NA,3,0.2,0,0,2.02,55,10,35,179,3.263141779,246,11,0.2
UA15,1,NW,xeric,1,1,28.7291,48.25883,188,90,526,317,38,7.43,NA,94,166.8,22,-0.259703052,25,1,1,0,1,0,0.137064651,0.16933932,NA,5,1,1,1,8,5,90,5,194,4.866332779,433,15,2
UA15,1,SE,xeric,1,1,28.72197,48.25874,186,89,546,316,37,7.33,NA,90,81.7,17,-0.104566051,5,1,1,0,1,0,0.111236185,0.20841300200000001,NA,3,2,0,3,3,50,30,20,208,4.3757685,433,15,2
UA17,1,NW,xeric,1,1,28.56288,48.18124,103,96,479,318,37,7.49,NA,80,96.3,18,0.3217576,8,1,1,0,0,0,0.252253175,0.025510204,NA,3,2,3,12,1,20,60,20,176,3.241664388,321,16,5
UA17,1,SE,xeric,1,1,28.56312,48.18123,109,96,479,318,37,7.4,NA,80,129.05,18,0.3217576,20,1,1,0,0,0,0.251814743,0.029449424,NA,3,0.2,0,15,1,20,60,20,201,4.319985417,321,16,0.2
UA18,1,NW,xeric,1,1,28.50299,48.15407,82,97,519,319,36,7.32,NA,78,61.1,15,0.258819045,3,1,2,0,0,0,2.946264074,0.455994898,NA,8,5,9,0,0,50,30,20,164,2.843176348,257,NA,14
UA18,1,SE,xeric,1,1,28.50308,48.15396,78,97,519,319,36,7.2,NA,80,104.45,18,0.313848326,2,1,2,0,0,0,2.994479092,0.452274183,NA,5,1,6,12,0.6,30,35,35,188,3.687993207,257,NA,7
UA19,1,NW,xeric,1,1,28.13984,48.26333,85,97,488,316,36,7.6,NA,65,86.3,44,0.836311011,10,0,0,0,0,1,3.561599019,0.065300896,NA,20,0,20,12,5,55,10,35,127,1.831990837,390,NA,20
UA19,1,SE,xeric,1,1,28.13996,48.26326,99,97,488,316,36,7.6,NA,50,37,38,0.639991718,5,0,0,0,0,1,3.564047473,0.06505102,NA,20,3,12,20,10,55,10,35,127,1.831990837,390,NA,15
UA20,1,NW,xeric,1,1,27.79681,48.46845,203,92,565,312,37,7.52,NA,85,143.3,20,0.308664264,4,1,2,0,0,0,15.22986509,15.94185304,NA,2,0.1,0,11,0,55,10,35,159,3.06529639,695,21,0.1
UA20,1,SE,xeric,1,1,27.79672,48.46843,201,92,565,312,37,7.62,NA,75,108.35,20,0.337467325,4,1,2,0,0,0,15.23765211,16.06198083,NA,5,1,3,15,0.2,55,10,35,154,3.020051477,695,21,4
UA21,1,NW,xeric,1,1,27.56812,48.52707,190,89,587,311,37,7.48,NA,90,163.51,16,0.259879576,15,1,1,0,0,0,2.052437902,0.357005758,NA,5,1,1,5,4,55,10,35,163,2.583510009,505,15,2
UA21,1,SE,xeric,1,1,27.56819,48.52698,186,89,587,311,37,7.48,NA,92,120.6,22,0.379660463,5,1,1,0,0,0,2.066584967,0.357921745,NA,16,0.6,0.5,3,0.35,55,10,35,163,2.583510009,505,15,1.1
SB20061,4,NW,xeric,1,1,31.915923,46.722723,9,106,415,323,19,7.2,42.6,75,104.973,0,0,0,1,2,0,0,0,9.254133107,7.311403509,12.54192968,2,0,0,100,0,NA,NA,NA,NA,NA,314,NA,0
SB20061,4,SE,xeric,1,1,31.91604,46.722658,8,106,415,323,19,7.7,46.2,75,89.86,0,0,0,1,2,0,0,0,9.274309979,7.307017544,19.03155275,4,0,0,100,0,NA,NA,NA,NA,NA,314,NA,0
SB20062,4,NW,xeric,1,1,31.893787,46.644089,24,107,411,319,18,8.2,47,65,60.755,0,0,0,0,0,0,0,1,0.477669405,1.184275184,15.5724115,2,0,0,100,0,NA,NA,NA,NA,NA,557,14,0
SB20062,4,SE,xeric,1,1,31.893899,46.644018,24,107,411,319,18,7.9,47.2,55,46.303,3,0.013564131,0,0,0,0,0,1,0.474022634,1.18865598,16.16168308,2,0,0,100,0,NA,NA,NA,NA,NA,557,14,0
SB20077,4,NW,xeric,1,1,31.987514,46.65314,13,108,403,321,21,7.9,42.8,65,70.61,0,0,0,0,0,0,0,1,10.51816709,8.912813738,8.526429499,2,0,0,100,0,NA,NA,NA,NA,NA,0,9,0
SB20077,4,SE,xeric,1,1,31.987662,46.653031,12,108,403,321,21,7.5,27.2,80,76.7,0,0,0,0,0,0,0,1,10.46974596,8.626806833,7.596051606,2,0,0,100,0,NA,NA,NA,NA,NA,0,9,0
SB20081,4,NW,xeric,1,1,32.014299,47.051428,36,102,450,333,22,7.5,39.4,70,84.817,6,-0.074319917,0,0,0,0,0,1,11.88072363,19.48814862,7.021395873,3,0,0,100,0,NA,NA,NA,NA,NA,427,27,0
SB20081,4,SE,xeric,1,1,32.014429,47.051329,35,102,450,333,22,7.9,37.8,55,60.891,5,-0.050181436,0,0,0,0,0,1,11.89638259,19.78950736,2.588435821,4,0,5,95,0,NA,NA,NA,NA,NA,427,27,5
SB20083,4,NW,xeric,1,1,31.791571,47.109558,39,101,464,333,23,7.8,29.2,65,77.371,3,0.052208352,0,1,3,0,0,0,1.13222381,0.179897567,2.588435821,3,0,0,100,0,NA,NA,NA,NA,NA,445,15,0
